Dt_Venda;Cod_prod;Cod_Cliente;Pr_custo;Pr_Unit;Qtde;Situacao;Cod_Canal_vendas;Cod_Vend
01/01/2018;2;6; R$1,12 ; R$1,18 ;63;N;1;6
01/01/2018;5;3; R$3,00 ; R$4,28 ;21;N;1;3
01/01/2018;6;1; R$2,85 ; R$3,00 ;93;N;2;1
01/01/2018;9;10; R$8,13 ; R$8,56 ;77;N;1;
01/01/2018;6;9; R$2,85 ; R$3,00 ;47;N;2;9
01/01/2018;9;6; R$2,64 ; R$2,78 ;92;N;1;6
01/01/2018;4;2; R$1,69 ; R$2,41 ;54;N;1;2
01/01/2018;7;10; R$1,01 ; R$1,44 ;64;N;1;
01/01/2018;6;9; R$2,85 ; R$3,00 ;39;N;1;9
01/01/2018;6;2; R$2,85 ; R$3,00 ;79;N;2;2
01/01/2018;6;3; R$2,85 ; R$3,00 ;88;N;1;3
01/01/2018;4;4; R$1,69 ; R$2,41 ;82;N;2;4
01/01/2018;4;10; R$1,69 ; R$2,41 ;84;N;1;
01/01/2018;4;2; R$1,69 ; R$2,41 ;19;N;1;2
01/01/2018;2;2; R$1,12 ; R$1,18 ;82;N;1;2
01/01/2018;9;10; R$8,13 ; R$8,56 ;49;N;1;
01/01/2018;2;5; R$1,12 ; R$1,18 ;90;N;1;5
01/01/2018;5;7; R$3,00 ; R$4,28 ;58;N;2;7
01/01/2018;7;8; R$1,01 ; R$1,44 ;29;N;1;8
01/01/2018;3;7; R$0,77 ; R$0,96 ;111;N;1;7
01/01/2018;4;7; R$1,69 ; R$2,41 ;52;N;2;7
01/01/2018;7;7; R$1,00 ; R$1,43 ;66;N;1;7
01/01/2018;9;7; R$2,56 ; R$2,70 ;22;N;2;7
01/01/2018;4;8; R$1,67 ; R$2,39 ;71;N;2;8
01/01/2018;4;5; R$1,74 ; R$2,48 ;60;N;1;5
01/01/2018;4;6; R$1,74 ; R$2,48 ;13;N;1;6
01/01/2018;7;6; R$0,99 ; R$1,41 ;90;N;1;6
01/01/2018;9;1; R$2,56 ; R$2,70 ;26;N;2;1
01/01/2018;7;2; R$1,00 ; R$1,43 ;111;N;1;2
01/01/2018;3;1; R$0,79 ; R$0,99 ;76;N;1;1
01/01/2018;5;7; R$3,03 ; R$4,32 ;111;N;1;7
01/01/2018;5;3; R$2,94 ; R$4,19 ;100;N;2;3
01/01/2018;5;6; R$2,97 ; R$4,24 ;99;N;2;6
01/01/2018;6;3; R$2,85 ; R$3,00 ;107;N;2;3
01/01/2018;2;2; R$1,09 ; R$1,14 ;37;N;2;2
01/01/2018;9;8; R$2,61 ; R$2,75 ;16;N;1;8
01/01/2018;7;9; R$0,98 ; R$1,40 ;75;N;1;9
01/01/2018;4;4; R$1,64 ; R$2,34 ;51;N;1;4
01/01/2018;5;4; R$2,94 ; R$4,19 ;114;N;1;4
01/01/2018;9;3; R$8,29 ; R$8,73 ;108;N;1;3
02/01/2018;4;3; R$1,69 ; R$2,41 ;15;N;2;3
02/01/2018;4;1; R$1,69 ; R$2,41 ;103;N;2;1
02/01/2018;9;9; R$2,64 ; R$2,78 ;95;N;2;9
02/01/2018;9;6; R$8,13 ; R$8,56 ;89;N;2;6
02/01/2018;9;8; R$8,13 ; R$8,56 ;17;N;1;8
02/01/2018;4;10; R$1,69 ; R$2,41 ;62;N;1;
02/01/2018;7;6; R$1,01 ; R$1,44 ;68;N;1;6
02/01/2018;1;4; R$6,68 ; R$8,35 ;26;N;1;4
02/01/2018;3;5; R$0,77 ; R$0,96 ;75;N;1;5
02/01/2018;5;7; R$3,00 ; R$4,28 ;76;N;1;7
02/01/2018;5;10; R$3,00 ; R$4,28 ;51;N;1;
02/01/2018;6;7; R$2,85 ; R$3,00 ;15;N;2;7
02/01/2018;3;4; R$0,77 ; R$0,96 ;86;N;2;4
02/01/2018;4;5; R$1,69 ; R$2,41 ;49;N;1;5
02/01/2018;4;9; R$1,69 ; R$2,41 ;71;N;1;9
02/01/2018;6;10; R$2,85 ; R$3,00 ;70;N;1;
02/01/2018;9;6; R$2,64 ; R$2,78 ;71;N;1;6
02/01/2018;3;6; R$0,77 ; R$0,96 ;78;N;1;6
02/01/2018;5;6; R$3,00 ; R$4,28 ;45;N;2;6
02/01/2018;5;1; R$3,00 ; R$4,28 ;80;N;2;1
02/01/2018;7;2; R$1,01 ; R$1,44 ;42;N;1;2
02/01/2018;1;9; R$6,68 ; R$8,35 ;96;N;1;9
02/01/2018;7;5; R$1,01 ; R$1,44 ;71;N;2;5
02/01/2018;9;3; R$2,64 ; R$2,78 ;73;N;2;3
02/01/2018;9;6; R$8,13 ; R$8,56 ;22;N;1;6
02/01/2018;4;1; R$1,67 ; R$2,39 ;44;N;2;1
02/01/2018;4;8; R$1,70 ; R$2,43 ;105;N;1;8
02/01/2018;5;7; R$2,97 ; R$4,24 ;101;N;1;7
02/01/2018;1;3; R$6,61 ; R$8,27 ;72;N;2;3
02/01/2018;2;7; R$1,15 ; R$1,22 ;75;N;2;7
02/01/2018;3;4; R$0,75 ; R$0,94 ;41;N;1;4
02/01/2018;7;2; R$1,03 ; R$1,47 ;100;N;2;2
02/01/2018;1;2; R$6,68 ; R$8,35 ;16;N;2;2
02/01/2018;1;7; R$6,81 ; R$8,52 ;80;N;2;7
02/01/2018;9;2; R$2,61 ; R$2,75 ;33;N;1;2
02/01/2018;2;10; R$1,12 ; R$1,18 ;15;N;1;
02/01/2018;5;10; R$3,00 ; R$4,28 ;12;N;2;
02/01/2018;5;10; R$3,06 ; R$4,37 ;20;N;1;
02/01/2018;9;10; R$2,59 ; R$2,72 ;69;N;1;
02/01/2018;2;5; R$1,09 ; R$1,14 ;23;N;1;5
02/01/2018;3;3; R$0,77 ; R$0,96 ;24;N;1;3
02/01/2018;3;4; R$0,76 ; R$0,95 ;82;N;1;4
02/01/2018;2;4; R$1,14 ; R$1,20 ;56;N;1;4
02/01/2018;5;3; R$3,00 ; R$4,28 ;58;N;1;3
02/01/2018;5;7; R$3,00 ; R$4,28 ;11;N;1;7
02/01/2018;5;6; R$3,00 ; R$4,28 ;61;N;2;6
02/01/2018;6;1; R$2,79 ; R$2,94 ;115;N;1;1
02/01/2018;6;4; R$2,82 ; R$2,97 ;31;C;1;4
03/01/2018;6;4; R$2,85 ; R$3,00 ;10;N;1;4
03/01/2018;7;10; R$1,01 ; R$1,44 ;69;N;1;
03/01/2018;2;7; R$1,12 ; R$1,18 ;47;N;1;7
03/01/2018;7;10; R$1,01 ; R$1,44 ;44;N;1;
03/01/2018;7;5; R$1,01 ; R$1,44 ;30;N;1;5
03/01/2018;6;3; R$2,85 ; R$3,00 ;72;N;1;3
03/01/2018;7;3; R$1,01 ; R$1,44 ;52;N;1;3
03/01/2018;9;10; R$2,64 ; R$2,78 ;71;N;1;
03/01/2018;9;1; R$2,64 ; R$2,78 ;87;N;2;1
03/01/2018;2;7; R$1,12 ; R$1,18 ;39;N;2;7
03/01/2018;3;2; R$0,77 ; R$0,96 ;72;N;2;2
03/01/2018;5;9; R$3,00 ; R$4,28 ;70;N;1;9
03/01/2018;1;1; R$6,68 ; R$8,35 ;98;N;1;1
03/01/2018;1;3; R$6,68 ; R$8,35 ;62;N;1;3
03/01/2018;2;5; R$1,12 ; R$1,18 ;44;N;1;5
03/01/2018;2;8; R$1,12 ; R$1,18 ;62;N;1;8
03/01/2018;5;3; R$3,00 ; R$4,28 ;29;N;1;3
03/01/2018;6;4; R$2,85 ; R$3,00 ;43;N;1;4
03/01/2018;7;8; R$1,01 ; R$1,44 ;70;N;2;8
03/01/2018;7;3; R$1,01 ; R$1,44 ;66;N;1;3
03/01/2018;2;1; R$1,10 ; R$1,16 ;38;N;1;1
03/01/2018;6;8; R$2,94 ; R$3,09 ;101;N;1;8
03/01/2018;7;9; R$1,04 ; R$1,48 ;96;N;1;9
03/01/2018;7;1; R$1,01 ; R$1,44 ;87;N;2;1
03/01/2018;4;3; R$1,65 ; R$2,36 ;71;N;2;3
03/01/2018;5;1; R$2,91 ; R$4,15 ;15;N;1;1
03/01/2018;2;8; R$1,14 ; R$1,20 ;12;N;1;8
03/01/2018;7;7; R$1,00 ; R$1,43 ;54;N;1;7
03/01/2018;7;9; R$1,01 ; R$1,44 ;15;N;1;9
03/01/2018;7;10; R$1,03 ; R$1,47 ;48;N;2;
03/01/2018;3;9; R$0,79 ; R$0,99 ;101;N;1;9
03/01/2018;3;3; R$0,79 ; R$0,99 ;36;N;1;3
03/01/2018;7;9; R$1,01 ; R$1,44 ;111;N;1;9
03/01/2018;9;7; R$2,72 ; R$2,86 ;113;N;2;7
03/01/2018;9;10; R$2,69 ; R$2,84 ;58;N;1;
03/01/2018;9;5; R$8,13 ; R$8,56 ;104;N;1;5
03/01/2018;9;8; R$7,97 ; R$8,39 ;59;N;2;8
03/01/2018;2;10; R$1,12 ; R$1,18 ;81;N;2;
03/01/2018;4;5; R$1,64 ; R$2,34 ;33;N;2;5
03/01/2018;9;6; R$2,61 ; R$2,75 ;28;N;1;6
03/01/2018;5;1; R$3,00 ; R$4,28 ;46;N;1;1
03/01/2018;3;10; R$0,74 ; R$0,93 ;86;N;1;
03/01/2018;5;1; R$3,03 ; R$4,32 ;67;N;1;1
03/01/2018;9;5; R$2,56 ; R$2,70 ;93;N;1;5
04/01/2018;1;7; R$6,68 ; R$8,35 ;55;N;1;7
04/01/2018;4;10; R$1,69 ; R$2,41 ;92;N;1;
04/01/2018;9;9; R$2,64 ; R$2,78 ;78;N;1;9
04/01/2018;9;7; R$8,13 ; R$8,56 ;91;N;2;7
04/01/2018;4;2; R$1,69 ; R$2,41 ;18;N;1;2
04/01/2018;5;10; R$3,00 ; R$4,28 ;94;N;2;
04/01/2018;9;9; R$8,13 ; R$8,56 ;48;N;1;9
04/01/2018;7;6; R$1,01 ; R$1,44 ;27;N;1;6
04/01/2018;3;1; R$0,77 ; R$0,96 ;44;N;1;1
04/01/2018;7;1; R$1,01 ; R$1,44 ;24;N;2;1
04/01/2018;9;1; R$2,64 ; R$2,78 ;69;N;2;1
04/01/2018;9;2; R$8,13 ; R$8,56 ;93;N;1;2
04/01/2018;7;8; R$1,01 ; R$1,44 ;34;N;1;8
04/01/2018;6;6; R$2,85 ; R$3,00 ;80;N;2;6
04/01/2018;9;5; R$8,13 ; R$8,56 ;59;N;2;5
04/01/2018;4;10; R$1,69 ; R$2,41 ;77;N;1;
04/01/2018;4;4; R$1,69 ; R$2,41 ;98;N;1;4
04/01/2018;9;7; R$8,13 ; R$8,56 ;69;N;1;7
04/01/2018;4;3; R$1,69 ; R$2,41 ;71;N;1;3
04/01/2018;5;5; R$3,00 ; R$4,28 ;85;N;2;5
04/01/2018;2;3; R$1,12 ; R$1,18 ;58;N;1;3
04/01/2018;3;10; R$0,77 ; R$0,96 ;78;N;1;
04/01/2018;3;2; R$0,77 ; R$0,96 ;49;N;1;2
04/01/2018;4;5; R$1,69 ; R$2,41 ;46;N;1;5
04/01/2018;9;10; R$2,64 ; R$2,78 ;26;N;1;
04/01/2018;5;4; R$3,03 ; R$4,32 ;18;N;1;4
04/01/2018;5;1; R$2,97 ; R$4,24 ;33;N;2;1
04/01/2018;6;4; R$2,85 ; R$3,00 ;56;N;1;4
04/01/2018;9;9; R$2,59 ; R$2,72 ;92;N;2;9
04/01/2018;4;1; R$1,72 ; R$2,46 ;35;N;1;1
04/01/2018;5;4; R$2,97 ; R$4,24 ;20;N;2;4
04/01/2018;6;2; R$2,85 ; R$3,00 ;31;N;1;2
04/01/2018;2;8; R$1,14 ; R$1,20 ;86;N;1;8
04/01/2018;2;10; R$1,09 ; R$1,14 ;36;N;1;
04/01/2018;6;2; R$2,91 ; R$3,06 ;105;N;1;2
04/01/2018;7;2; R$0,98 ; R$1,40 ;71;N;1;2
04/01/2018;3;7; R$0,79 ; R$0,99 ;33;N;2;7
04/01/2018;5;10; R$3,03 ; R$4,32 ;86;N;1;
04/01/2018;6;1; R$2,79 ; R$2,94 ;80;N;1;1
04/01/2018;1;10; R$6,55 ; R$8,18 ;74;N;2;
04/01/2018;9;4; R$2,64 ; R$2,78 ;93;N;2;4
04/01/2018;9;2; R$2,64 ; R$2,78 ;104;N;1;2
05/01/2018;1;8; R$6,68 ; R$8,35 ;81;N;1;8
05/01/2018;1;9; R$6,68 ; R$8,35 ;29;N;2;9
05/01/2018;7;7; R$1,01 ; R$1,44 ;95;N;2;7
05/01/2018;1;6; R$6,68 ; R$8,35 ;56;N;2;6
05/01/2018;2;5; R$1,12 ; R$1,18 ;26;N;2;5
05/01/2018;9;7; R$2,64 ; R$2,78 ;64;N;1;7
05/01/2018;9;5; R$8,13 ; R$8,56 ;97;N;1;5
05/01/2018;4;1; R$1,69 ; R$2,41 ;41;N;2;1
05/01/2018;1;2; R$6,68 ; R$8,35 ;49;N;2;2
05/01/2018;4;3; R$1,69 ; R$2,41 ;21;N;1;3
05/01/2018;4;10; R$1,69 ; R$2,41 ;37;N;1;
05/01/2018;1;1; R$6,68 ; R$8,35 ;65;N;2;1
05/01/2018;2;5; R$1,12 ; R$1,18 ;96;N;1;5
05/01/2018;6;8; R$2,85 ; R$3,00 ;92;N;1;8
05/01/2018;6;2; R$2,85 ; R$3,00 ;30;N;2;2
05/01/2018;4;6; R$1,69 ; R$2,41 ;45;N;1;6
05/01/2018;6;9; R$2,85 ; R$3,00 ;50;N;1;9
05/01/2018;6;3; R$2,85 ; R$3,00 ;92;N;2;3
05/01/2018;6;5; R$2,85 ; R$3,00 ;30;N;1;5
05/01/2018;1;3; R$6,68 ; R$8,35 ;49;N;1;3
05/01/2018;5;5; R$3,06 ; R$4,37 ;30;N;1;5
05/01/2018;7;5; R$1,01 ; R$1,44 ;97;N;1;5
05/01/2018;7;3; R$1,04 ; R$1,48 ;77;N;2;3
05/01/2018;4;6; R$1,70 ; R$2,43 ;19;N;1;6
05/01/2018;4;4; R$1,70 ; R$2,43 ;43;N;1;4
05/01/2018;7;6; R$1,00 ; R$1,43 ;14;N;2;6
05/01/2018;3;8; R$0,78 ; R$0,97 ;73;N;1;8
05/01/2018;3;5; R$0,78 ; R$0,98 ;46;N;2;5
05/01/2018;5;7; R$2,91 ; R$4,15 ;29;N;1;7
05/01/2018;6;1; R$2,94 ; R$3,09 ;62;N;2;1
05/01/2018;5;1; R$3,03 ; R$4,32 ;22;N;1;1
05/01/2018;2;4; R$1,12 ; R$1,18 ;48;N;1;4
05/01/2018;4;9; R$1,69 ; R$2,41 ;39;N;1;9
05/01/2018;9;3; R$2,64 ; R$2,78 ;20;N;1;3
05/01/2018;1;8; R$6,88 ; R$8,60 ;31;N;2;8
05/01/2018;9;5; R$2,67 ; R$2,81 ;86;N;2;5
05/01/2018;3;9; R$0,75 ; R$0,94 ;93;N;1;9
05/01/2018;4;1; R$1,67 ; R$2,39 ;40;N;2;1
05/01/2018;7;6; R$1,04 ; R$1,48 ;113;N;2;6
05/01/2018;9;4; R$2,61 ; R$2,75 ;14;N;1;4
06/01/2018;3;4; R$0,77 ; R$0,96 ;28;N;1;4
06/01/2018;4;3; R$1,69 ; R$2,41 ;10;N;1;3
06/01/2018;3;7; R$0,77 ; R$0,96 ;65;N;2;7
06/01/2018;4;3; R$1,69 ; R$2,41 ;38;N;1;3
06/01/2018;9;6; R$8,13 ; R$8,56 ;110;N;2;6
06/01/2018;4;8; R$1,69 ; R$2,41 ;22;C;1;8
06/01/2018;2;10; R$1,12 ; R$1,18 ;33;N;1;
06/01/2018;5;7; R$3,00 ; R$4,28 ;111;N;2;7
06/01/2018;9;6; R$2,64 ; R$2,78 ;13;N;1;6
06/01/2018;7;1; R$1,01 ; R$1,44 ;72;N;1;1
06/01/2018;7;6; R$1,01 ; R$1,44 ;111;N;1;6
06/01/2018;3;7; R$0,77 ; R$0,96 ;93;N;1;7
06/01/2018;4;4; R$1,69 ; R$2,41 ;48;N;1;4
06/01/2018;9;2; R$2,64 ; R$2,78 ;43;N;1;2
07/01/2018;6;2; R$2,85 ; R$3,00 ;32;N;1;2
07/01/2018;6;8; R$2,85 ; R$3,00 ;96;N;2;8
07/01/2018;9;7; R$2,64 ; R$2,78 ;62;N;1;7
07/01/2018;1;5; R$6,68 ; R$8,35 ;18;N;1;5
07/01/2018;2;9; R$1,12 ; R$1,18 ;101;N;1;9
07/01/2018;4;3; R$1,69 ; R$2,41 ;106;N;1;3
07/01/2018;5;3; R$3,00 ; R$4,28 ;34;N;2;3
07/01/2018;1;4; R$6,68 ; R$8,35 ;97;N;1;4
07/01/2018;7;6; R$1,01 ; R$1,44 ;91;N;2;6
07/01/2018;9;9; R$2,64 ; R$2,78 ;86;N;1;9
07/01/2018;9;10; R$8,13 ; R$8,56 ;18;N;1;
07/01/2018;9;7; R$8,13 ; R$8,56 ;33;N;2;7
07/01/2018;6;2; R$2,85 ; R$3,00 ;52;N;2;2
07/01/2018;7;7; R$1,01 ; R$1,44 ;109;N;1;7
07/01/2018;1;9; R$6,68 ; R$8,35 ;82;N;1;9
07/01/2018;1;5; R$6,68 ; R$8,35 ;91;N;2;5
07/01/2018;2;2; R$1,12 ; R$1,18 ;82;N;1;2
07/01/2018;2;2; R$1,12 ; R$1,18 ;15;N;1;2
07/01/2018;5;2; R$3,00 ; R$4,28 ;58;N;1;2
